acceptance_rate,hamiltonian_energy,is_accept,log_density,lp,n_steps,numerical_error,step_size,tree_depth
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
NaN,Inf,1,-Inf,-Inf,1,1,1,0
